ACAO,CORPO,MENTE,VIDA,LIBERDADE,PROPOSITO
Dormir adequadamente (7-9h),10,10,7,6,7
Dormir pouco (<5h),2,2,3,4,3
Acordar cedo,7,8,6,7,7
Trabalhar em excesso (Workaholic),3,3,2,8,8
Estudar focado,4,9,4,8,9
Ler um livro,5,9,5,7,8
Assistir séries (Binge-watching),3,3,4,3,2
Jogar videogame moderadamente,4,7,6,5,4
Jogar videogame excessivamente,2,3,2,2,2
Rolar feed de redes sociais,3,2,3,2,2
Fumar cigarro,1,3,4,2,2
Beber álcool socialmente,4,5,8,5,4
Beber álcool em excesso,1,2,3,2,1
Usar drogas ilícitas (Estimulantes pesados),1,1,2,1,1
Fazer musculação,9,8,5,5,6
Correr ao ar livre,9,9,6,6,6
Fazer caminhada,8,8,6,6,5
Comer fast food,2,4,6,5,3
Comer vegetais e frutas,9,8,5,6,6
Beber água,10,9,5,5,5
Beber refrigerante,2,3,5,4,3
Consumir açúcar refinado,2,3,5,4,3
Meditar,8,10,6,7,7
Fazer terapia,6,10,8,7,8
Reclamar constantemente,4,2,2,4,3
Fofocar,5,4,3,4,3
Ajudar um amigo,5,7,9,5,8
Fazer trabalho voluntário,6,8,9,4,10
Economizar dinheiro,5,7,4,9,8
Comprar por impulso,4,3,4,2,2
Investir dinheiro,5,7,4,10,9
Pagar dívidas,6,9,5,10,8
Procrastinar,4,2,3,2,2
Planejar o dia,5,9,6,8,8
Tomar sol,9,8,6,6,5
Ficar sentado o dia todo,2,4,4,5,4
Passar tempo na natureza,8,9,7,6,6
Ouvir música,6,8,7,6,5
Aprender um instrumento,5,9,6,6,7
Cozinhar a própria comida,8,7,6,7,6
Pedir delivery,4,5,6,4,4
Ir a festas e baladas,3,5,8,4,4
Passar tempo com a família,5,8,10,5,7
Discutir por política,4,2,2,4,4
Mentir,5,3,2,4,3
Falar a verdade,5,8,8,8,8
Perdoar alguém,7,9,9,8,8
Guardar rancor,3,2,2,3,3
Fazer networking,4,7,8,8,9
Ignorar mensagens,5,4,2,6,4
Arrumar a cama,6,8,5,6,5
Limpar a casa,7,8,6,7,6
Acumular bagunça,3,2,3,3,3
Tomar banho gelado,8,9,5,5,6
Tomar banho quente,7,8,5,5,5
Fazer alongamento,9,8,5,5,5
Praticar yoga,9,9,6,6,7
Praticar artes marciais,9,8,7,6,7
Praticar esportes coletivos,9,8,9,5,7
Namorar/Tempo de qualidade com parceiro,6,9,10,5,8
Ter relações sexuais casuais,6,5,6,6,4
Masturbação excessiva,4,3,3,3,3
Assistir pornografia,3,2,2,3,2
